HGT_ID,LLD_9002000001395260
HGT_seq_410,0_0
HGT_seq_411,0_0
HGT_seq_412,1_1
HGT_seq_413,0_0
HGT_seq_414,0_0
HGT_seq_415,0_0
HGT_seq_416,0_0
HGT_seq_417,0_0
HGT_seq_418,0_0
HGT_seq_419,0_0
HGT_seq_420,0_0
HGT_seq_421,6_3
HGT_seq_422,0_0
HGT_seq_423,4_4
HGT_seq_424,0_0
HGT_seq_425,0_0
HGT_seq_426,1_1
HGT_seq_427,0_0
HGT_seq_428,1_1
HGT_seq_429,0_0
HGT_seq_430,0_0
HGT_seq_431,0_0
HGT_seq_432,0_0
HGT_seq_433,0_0
HGT_seq_434,0_0
HGT_seq_435,0_0
HGT_seq_436,0_0
HGT_seq_437,0_0
HGT_seq_438,0_0
HGT_seq_439,0_0
HGT_seq_440,0_0
HGT_seq_441,0_0
HGT_seq_442,0_0
HGT_seq_443,0_0
HGT_seq_444,0_0
HGT_seq_445,6_6
HGT_seq_446,0_0
HGT_seq_447,0_0
HGT_seq_448,0_0
HGT_seq_449,2_2
HGT_seq_450,0_0
HGT_seq_451,2_2
HGT_seq_452,0_0
HGT_seq_453,0_0
HGT_seq_454,0_0
HGT_seq_455,0_0
HGT_seq_456,0_0
HGT_seq_457,0_0
HGT_seq_458,0_0
HGT_seq_459,0_0
HGT_seq_460,0_0
HGT_seq_461,0_0
HGT_seq_462,0_0
HGT_seq_463,0_0
HGT_seq_464,0_0
HGT_seq_465,0_0
HGT_seq_466,0_0
HGT_seq_467,0_0
HGT_seq_468,0_0
HGT_seq_469,0_0
HGT_seq_470,0_0
HGT_seq_471,0_0
HGT_seq_472,0_0
HGT_seq_473,0_0
HGT_seq_474,0_0
